Item name;Variations;Option set 1;Option 1;Option set 2;Option 2;Option set 3;Option 3;Option set 4;Option 4;Is variation visible? (Yes/No);Price;Cost price;Variable price? (Yes/No);Tax rate (%);On sale in Online Store?;Regular price (before sale);Set up different prices and VAT for takeaway;Takeaway price;Takeaway tax rate;Unit;Track inventory? (Yes/No);Quantity;Low stock threshold;SKU;Barcode;Modifiers;Description (Online Store and Invoices only);Category;Display item at Checkout? (Yes/No);Display colour in POS checkout;Image 1;Image 2;Image 3;Image 4;Image 5;Image 6;Image 7;Display item in Online Store? (Yes/No);SEO title (Online Store only);SEO description (Online Store only);Shipping weight [kg] (Online Store only);Display service in Bookings? (Yes/No);Duration [minutes] (Bookings only);Location [business/customer] (Bookings only);Item id (Do not change);Variant id (Do not change);
COSRX - Advanced Snail 92 All In One Cream - 100 ml;;;;;;;;;;Yes;21.50;;No;20.00;No;18.50;No;;;each.each;Yes;0;2;;12346789528;;;COSRX;Yes;Pink;https://images.sumup.com/img_3R3T1CYHH595F8SFRE7W07YTZP;;;;;;;Yes;COSRX - Advanced Snail 92 All In One Cream - 100 ml;;;No;45;business;83dfe583-8275-45fb-ac42-908ff4fda41f;1a833b0c-de88-4661-8118-556bdc1c7d5f;
COSRX - Advanced Snail 96 Mucin Power Essence - 100ml;;;;;;;;;;Yes;20.00;;No;20.00;No;15.00;No;;;each.each;Yes;2;2;;12346789504;;;COSRX;Yes;Pink;https://images.sumup.com/img_39S5YMR2BY900SWM1C7AENGFJA;;;;;;;Yes;;;;No;45;business;97e49b7a-244a-45de-8e78-6f7431cb5ac1;4879ae28-b823-4977-b23d-20250efc3edc;
COSRX - BHA Blackhead Power Liquid;;;;;;;;;;Yes;23.50;;No;20.00;;;No;;;each.each;Yes;3;0;;;;;COSRX;Yes;;https://images.sumup.com/img_3KTPJZP0RK8FP876RH387D346G;;;;;;;Yes;;;;Yes;45;business;6AB7643C-2DBF-429C-AA80-5C7F4C36F93B;2C162D28-E079-4F3D-84D6-87554D93E899;
COSRX - Masque spa de nuit au riz nourrissant ultime - 60 ml;;;;;;;;;;Yes;20.00;;No;20.00;No;20.00;No;;;each.each;Yes;3;2;;12346789527;;;COSRX;Yes;;https://images.sumup.com/img_6AJNRZ3X1480STSP4PWW5M6BM4;;;;;;;Yes;;;;No;45;business;31a28bf2-745a-4a39-94a5-8d2357b295da;aef8a11f-bb3e-48d6-8b36-1a8478febbf6;
COSRX - The  Hyaluronic Acid 3;;;;;;;;;;Yes;30.00;;No;20.00;No;;No;;;each.each;Yes;1;0;;;;;COSRX;Yes;;https://images.sumup.com/img_45E4H5JXZR85RS0VCJ5C2FC0PM;;;;;;;Yes;COSRX - The  Hyaluronic Acid 3;;;Yes;45;business;cf3df5df-3977-4b02-8330-b24a2b31fb9f;8382455e-a7ca-4965-9dab-b33b7104bd03;
COSRX - The 6 Peptide Skin Booster Sérum;;;;;;;;;;Yes;22.50;;No;20.00;No;22.00;No;;;each.each;Yes;1;2;;12346789509;;;COSRX;Yes;;https://images.sumup.com/img_3H2KY7VMRE9Q0A3D93PCT3VB75;;;;;;;Yes;COSRX - The 6 Peptide Skin Booster Sérum;;;No;45;business;0923a902-d249-4a0b-9e88-f9b44469ff06;5967bc68-005c-4dc9-abe8-800faa914288;
Carboxythérapie;;;;;;;;;;Yes;110.00;;No;20.00;No;;No;;;each.each;Yes;0;0;;;;;Soins de beauté;Yes;Black;;;;;;;;Yes;Carboxythérapie;;;Yes;45;business;2ffc9547-f088-4e32-989c-a1ce66241a03;f30cd2f1-a83a-46b9-9186-44267964d02b;
Carrot carotene daily mask;;;;;;;;;;Yes;26.50;;No;20.00;No;;No;;;each.each;Yes;3;1;;;;;Skinfood;Yes;Orange;https://images.sumup.com/img_15HG8RJGZW9879QFEAGABBMDNF;;;;;;;Yes;Carrot carotene daily mask;;;Yes;45;business;a46a5ef5-54ee-41f4-9368-630791a8e385;9b708a5c-f19f-41b6-aa0b-4183175a2b06;
Celimax baking foam;;;;;;;;;;Yes;18.00;;No;20.00;No;;No;;;each.each;Yes;4;0;;;;;CELIMAX;Yes;Grey;https://images.sumup.com/img_1EJS29PXG98F3BH88GB3YTDT5H;;;;;;;Yes;Celimax baking foam;;;Yes;45;business;2da72f22-4098-4cb1-b2c4-eda1381f19d4;bda80c41-d1c1-47f7-81f2-671da312b1a5;
Celimax foam cica bha acne;;;;;;;;;;Yes;18.50;;No;20.00;No;;No;;;each.each;Yes;0;0;;;;;CELIMAX;Yes;Light green;https://images.sumup.com/img_5KPZAH79ZR9HQAEH0RH705ZYPZ;;;;;;;Yes;Celimax foam cica bha acne;;;Yes;45;business;11e0a6c2-9784-4e53-aea3-6d256f9b0572;383537b9-b85c-4398-a019-ea12439bbdcb;
Celimax noni ampoule;;;;;;;;;;Yes;28.75;;No;20.00;No;;No;;;each.each;Yes;4;2;;;;;CELIMAX;Yes;;https://images.sumup.com/img_1VVS5AWB869J3TBJM57ESJM3MD;;;;;;;Yes;Celimax noni ampoule;;;Yes;45;business;6e67a738-b6a8-49bf-b167-f823fba621b7;d5cebd7a-526f-41ea-b964-71a3ee63c04d;
Celimax oil jojoba;;;;;;;;;;Yes;16.99;;No;20.00;No;;No;;;each.each;Yes;0;1;;;;;CELIMAX;Yes;Purple;https://images.sumup.com/img_4C7MEV538A9WF9QA6D7RKF26DP;;;;;;;Yes;Celimax oil jojoba;;;Yes;45;business;80eee21d-0ad4-4706-a852-c0f5aacb91c2;2ccc0ce4-461d-4b00-bda8-070380357e1a;
Celimax pore +dark spot  serum;;;;;;;;;;Yes;22.99;;No;20.00;No;;No;;;each.each;Yes;2;0;;;;;CELIMAX;Yes;;https://images.sumup.com/img_7QQBSC9ANH8XDTGVGPP8E1QMY9;;;;;;;Yes;Celimax pore +dark spot  serum;;;Yes;45;business;1756c43b-520f-487f-b73e-5a6ed4a775ee;2c2d21aa-163b-4494-80e9-5886f4e4f5c5;
