Item name;Variations;Option set 1;Option 1;Option set 2;Option 2;Option set 3;Option 3;Option set 4;Option 4;Is variation visible? (Yes/No);Price;Cost price;Variable price? (Yes/No);Tax rate (%);On sale in Online Store?;Regular price (before sale);Set up different prices and VAT for takeaway;Takeaway price;Takeaway tax rate;Unit;Track inventory? (Yes/No);Quantity;Low stock threshold;SKU;Barcode;Modifiers;Description (Online Store and Invoices only);Category;Display item at Checkout? (Yes/No);Display colour in POS checkout;Image 1;Image 2;Image 3;Image 4;Image 5;Image 6;Image 7;Display item in Online Store? (Yes/No);SEO title (Online Store only);SEO description (Online Store only);Shipping weight [kg] (Online Store only);Display service in Bookings? (Yes/No);Duration [minutes] (Bookings only);Location [business/customer] (Bookings only);Item id (Do not change);Variant id (Do not change);
Hydraskin jelly ;;;;;;;;;;Yes;85.00;;No;20.00;No;;No;;;each.each;Yes;-3;0;;;;;Soins de beauté;Yes;Black;;;;;;;;Yes;Hydraskin jelly ;;;Yes;45;business;416ed876-1c15-4285-b38b-7e41a48fe7bf;c67a384e-1ec3-4d04-842e-54aad3dc804c;
Hyper Niacinamide 20 Serum;Hyper Niacinamide 20 Serum;;;;;;;;;Yes;20.00;;No;20.00;;;No;;;each.each;Yes;0;0;;;;;ABIB;Yes;;;;;;;;;No;;;;;;;cf7e4cfc-74fa-4be7-bf61-1e1363fd20cd;f6f80442-097a-4a3f-84f9-d821b7954745;
I'm from beet purifying mask;;;;;;;;;;Yes;22.00;;No;20.00;No;;No;;;each.each;Yes;3;0;;;;;I'm from;Yes;Pink;https://images.sumup.com/img_6BWNYP03Y88C89D072P5XCGJB5;;;;;;;Yes;I'm from beet purifying mask;;;Yes;45;business;60200fb4-dce3-40df-bad6-f4eae0756542;b2ab5a87-a2bb-438a-beca-2a8b4ca0948c;
I'm from honey mask;;;;;;;;;;Yes;19.50;;No;20.00;No;;No;;;each.each;Yes;3;0;;;;;I'm from;Yes;;https://images.sumup.com/img_3839FYEDPC8SERGC3GY3FJ0DK9;;;;;;;Yes;I'm from honey mask;;;Yes;45;business;c6dfcab4-c257-41a6-a33c-c9f7a1793121;d3e55d1f-7cff-4326-b774-d9d444e7a030;
I'm from mask rice;;;;;;;;;;Yes;26.50;;No;20.00;No;;No;;;each.each;Yes;2;0;;;;;I'm from;Yes;;https://images.sumup.com/img_0NAZMBV41S8T9TEAACS1K0GT0Z;;;;;;;Yes;I'm from mask rice;;;Yes;45;business;6aa69e8b-b941-4d63-9ad1-aa16683f8374;3b8055e0-fdc8-4ba1-b176-4b6173f3e227;
I'm from rice sunscreen;;;;;;;;;;Yes;21.00;;No;20.00;No;;No;;;each.each;No;0;0;;;;;I'm from;Yes;;https://images.sumup.com/img_67KE6Q5YBM891V8ZXY16W69HVM;;;;;;;Yes;I'm from rice sunscreen;;;Yes;45;business;b2d9c7ef-b920-4aed-b41a-b4f8ec72d428;abb49466-b573-4e14-bde6-ade827b72987;
I'm from toner rice;;;;;;;;;;Yes;27.50;;No;20.00;No;;No;;;each.each;Yes;3;0;;;;;I'm from;Yes;;https://images.sumup.com/img_1RDKGAPEAE86WAFZ63BJWCHJQE;;;;;;;Yes;I'm from toner rice;;;Yes;45;business;7de86cf1-6d4d-4eef-856d-2797b4d1fbce;843c7fcb-f0f1-462b-9a6d-d62200e9c14d;
ILLYOON - Gel douche hydratant frais 400 ml;;;;;;;;;;Yes;25.00;;No;20.00;;;No;;;each.each;Yes;1;0;;;;;ILLYOON;Yes;Light blue;https://images.sumup.com/img_025FKY5VBH912BGSETGE8R4NQV;;;;;;;Yes;;;;Yes;45;business;E25E7BA6-B1CA-4535-BE76-C9297CB77C6E;BF63B685-08C3-4E14-AF3D-1944DA459A12;
INNISFREE - Coffret Anti-Age Pour Homme;;;;;;;;;;Yes;25.00;;No;20.00;;;No;;;each.each;Yes;1;0;;;;;INNISFREE;Yes;Dark blue;https://images.sumup.com/img_6A7S3ZGTPC9DVBG6X9KR0FHKMW;;;;;;;Yes;;;;Yes;45;business;F488E5B7-D127-4F8D-97C0-DA24FFC38B33;D4F7F791-421D-47BC-A20F-59667EBDEA58;
INNISFREE- Kit Forest For Men;;;;;;;;;;Yes;25.00;;No;20.00;;;No;;;each.each;Yes;2;0;;;;;INNISFREE;Yes;Dark green;;;;;;;;Yes;;;;Yes;45;business;E91B3536-99F3-4D53-A789-619E5E32ABA3;C7B5E391-300E-48C9-9576-11E7B5FBFBCE;
Illiyoon;;;;;;;;;;Yes;23.90;;No;20.00;No;;No;;;each.each;Yes;5;2;;;;;ILLYOON;Yes;Light blue;https://images.sumup.com/img_44VWMT8JSF962B7KGES6T8GVZB;;;;;;;Yes;Illiyoon;;;Yes;45;business;6a65eea0-d73d-4e05-a4e3-3a41ee602e8f;bc3daf3f-244a-418f-9769-a3c3019ec005;
Isn tree Sun stick hyaluronic acid;;;;;;;;;;Yes;28.25;;No;20.00;No;;No;;;each.each;Yes;4;2;;;;;Isntree;Yes;Dark blue;https://images.sumup.com/img_25TNCC2C9N99B9KNJTVN8WCKHT;;;;;;;Yes;Isn tree Sun stick hyaluronic acid;;;Yes;45;business;552215f8-677f-431a-8ff3-368be5478e59;28f6657e-8dfb-4043-a350-7d7b080f4f89;
Isntree  toner ;;;;;;;;;;Yes;18.00;;No;20.00;No;;No;;;each.each;Yes;1;0;;;;;Isntree;Yes;Dark blue;https://images.sumup.com/img_1X2W3Q8HSA908BTF3HBKBY40DB;;;;;;;Yes;Isntree  toner ;;;Yes;45;business;c26884b9-df5f-456e-b114-9dca1596af0c;b8fac758-5d6e-4bca-8a5e-5a2a0d1356b7;
Isntree Sleeping mask;;;;;;;;;;Yes;21.99;;No;20.00;No;;No;;;each.each;Yes;4;0;;;;;Isntree;Yes;Dark blue;https://images.sumup.com/img_7APN9R0QWS8YW8GV0FCREH1FF0;;;;;;;Yes;Isntree Sleeping mask;;;Yes;45;business;6d992d17-7300-40c2-9df0-697d0ebebb71;ab341f53-2591-44c2-acfc-526c68aebb8d;
Isntree Yam root vegan milk toner;;;;;;;;;;Yes;22.99;;No;20.00;No;;No;;;each.each;Yes;2;2;;;;;Isntree;Yes;;;;;;;;;Yes;Isntree Yam root vegan milk toner;;;Yes;45;business;c64d64b7-610c-4f9c-ac91-fb810cedc0f2;f6bc68db-2f9a-40bc-a971-9a5cffd61328;
Isntree cream;;;;;;;;;;Yes;27.60;;No;20.00;No;;No;;;each.each;Yes;0;0;;;;;Isntree;Yes;Dark blue;https://images.sumup.com/img_6T7A4FEMNE9DS8088FE03G577C;;;;;;;Yes;Isntree cream;;;Yes;45;business;e601654a-485b-4edf-ad82-0effaf5c0c71;18578151-4fbd-4a28-8448-f7c69a80874d;
Isntree foam;;;;;;;;;;Yes;20.00;;No;20.00;No;;No;;;each.each;Yes;2;0;;;;;Isntree;Yes;Dark blue;https://images.sumup.com/img_5W3ASWHXRG9DWTAPPAFA35R0AK;;;;;;;Yes;Isntree foam;;;Yes;45;business;cb2d1746-52b8-4ebe-8beb-bbe751ca90eb;fe5f62a8-6569-472f-bd86-3319916865a2;
Isntree patch ;;;;;;;;;;Yes;6.99;;No;20.00;No;;No;;;each.each;Yes;2;0;;;;;Isntree;Yes;Pink;https://images.sumup.com/img_174X969X9K9S6A554Z206MG6A4;;;;;;;Yes;Isntree patch ;;;Yes;45;business;13fba4f4-ae32-4853-878f-61729bd83815;88a32a4c-1ce5-404a-b912-0b031e44e958;
Isntree serum niacinamide 20;;;;;;;;;;Yes;21.99;;No;20.00;No;;No;;;each.each;Yes;3;0;;;;;Isntree;Yes;Orange;https://images.sumup.com/img_480ZV4ARXC92E8AWRWX1N8433F;;;;;;;Yes;Isntree serum niacinamide 20;;;Yes;45;business;b2bc2e04-aebf-4b06-ae8b-8c00bb25105d;522946a3-2288-4718-a70d-1e8a76988793;
Isntree sun cream ;;;;;;;;;;Yes;20.00;;No;20.00;No;;No;;;each.each;Yes;4;0;;;;;Isntree;Yes;;https://images.sumup.com/img_2P0QMBVZDF800B0MK00247XTX6;;;;;;;Yes;Isntree sun cream ;;;Yes;45;business;eaa5f467-56ea-4f55-b471-757147d7a632;61c034bb-34d0-4539-9056-7a8997ea5df8;
Iunik  Centella relief sorbet cream;;;;;;;;;;Yes;20.00;;No;20.00;No;;No;;;each.each;Yes;3;2;;;;;iUNIK;Yes;Light green;;;;;;;;Yes;Iunik  Centella relief sorbet cream;;;Yes;45;business;7b614211-45ff-4574-9a31-9f0e99f98288;f9acd913-a5e6-4747-8391-1e6ea0b90e5b;
Iunik beta-glucan barrier sunscreen;;;;;;;;;;Yes;25.75;;No;20.00;No;;No;;;each.each;Yes;1;0;;;;;iUNIK;Yes;Light blue;https://images.sumup.com/img_3DBFBG24R28E5B4YAN1NVY1E17;;;;;;;Yes;Iunik beta-glucan barrier sunscreen;;;Yes;45;business;5e91f283-60df-4db0-a2b3-7190c889f3d3;62e7bff0-13f9-47a3-97a8-5a15231d4a24;
Iunik beta-glucan daily moisture cream;;;;;;;;;;Yes;20.00;;No;20.00;No;;No;;;each.each;Yes;4;2;;;;;iUNIK;Yes;Light blue;https://images.sumup.com/img_7HY8RZCX1C805TH5688PCWTJ47;;;;;;;Yes;Iunik beta-glucan daily moisture cream;;;Yes;45;business;2f774dc1-4975-442a-b36b-109e753f76f0;a9b435af-01b6-48f2-9f81-980dd8954c07;
Iunik beta-glucan lacto barrier milk essence;;;;;;;;;;Yes;23.59;;No;20.00;No;;No;;;each.each;Yes;2;1;;;;;iUNIK;Yes;Light blue;https://images.sumup.com/img_7QBF1NFYN8865SK5G04NXHX624;;;;;;;Yes;Iunik beta-glucan lacto barrier milk essence;;;Yes;45;business;c363bada-c15e-4ee5-90ba-a5452f478389;0c30994e-24ed-447f-8ed3-6f2eef30c7f6;
Iunik centella relief sorbet cream;;;;;;;;;;Yes;25.50;;No;20.00;No;;No;;;each.each;Yes;2;2;;;;;iUNIK;Yes;Light green;https://images.sumup.com/img_5SR6PHTYR4934ASMC5YHCCW22E;;;;;;;Yes;Iunik centella relief sorbet cream;;;Yes;45;business;e38dea72-2c6c-4a73-b5db-bac3e5cc1eb4;f86d7c8a-4daf-44d9-be66-46c777f3660d;
Jigott toner collagen;;;;;;;;;;Yes;18.00;;No;20.00;No;;No;;;each.each;Yes;2;0;;;;;Jigott;Yes;;https://images.sumup.com/img_7QC3PJ4Z4A891RGKSN8A0QXVB5;;;;;;;Yes;Jigott toner collagen;;;Yes;45;business;c334f02c-1a50-45e9-8a92-dc82e8a1562c;e1838b93-372a-48c1-b453-b6fba91fed92;
Jumiso - Pore Purifying Cleanser;;;;;;;;;;Yes;23.00;;No;20.00;No;;No;;;each.each;Yes;1;0;;;;;Jumiso;Yes;Dark blue;https://images.sumup.com/img_48SKR65RX296YBQ3FE0JP4KTRF;;;;;;;Yes;Jumiso cream acide hyaluronique;;;Yes;45;business;a9b87b32-382f-4e82-869c-880e0160d707;a43713dd-31a3-4bcf-ba38-d7d33414ef7f;
Jumiso acid hyaluronic serum ;;;;;;;;;;Yes;20.00;;No;20.00;No;;No;;;each.each;Yes;1;0;;;;;Jumiso;Yes;Dark blue;https://images.sumup.com/img_4ZEFF78GBJ8CZTRF9RYY3E2JGC;;;;;;;Yes;Jumiso acid hyaluronic serum ;;;Yes;45;business;b6a177b1-b6fa-455e-89ec-617a95a33400;774ad366-76f8-45cd-b1ee-e038a17b104b;
Kundal Treatment white musk;;;;;;;;;;Yes;21.99;;No;20.00;No;;No;;;each.each;Yes;5;0;;;;;Kundal;Yes;Purple;https://images.sumup.com/img_75FKBVPKZ19WSRWMTYQVZVHAWW;;;;;;;Yes;Kundal Treatment white musk;;;Yes;45;business;c2d4784d-c798-4b71-8dbb-cb2af7f78402;a37616bf-1bd4-4f82-9de6-bee57df63e5e;
Kundal body cream baby powder;;;;;;;;;;Yes;21.99;;No;20.00;No;;No;;;each.each;Yes;4;0;;;;;ABIB;Yes;;https://images.sumup.com/img_163DBCRTX09JCTV9ABRNA37H91;;;;;;;Yes;Kundal body cream baby powder;;;Yes;45;business;453cdcb6-02e6-48e4-9f89-ab527bd2d4d5;bdd794bc-d735-4ea0-b9e1-133adf6b8943;
Kundal body lotion  white musk;;;;;;;;;;Yes;22.99;;No;20.00;No;;No;;;each.each;Yes;2;0;;;;;Kundal;Yes;;https://images.sumup.com/img_44MFAJ24SY8EN9HERSF9PQ26E3;;;;;;;Yes;Kundal body lotion  white musk;;;Yes;45;business;9aa63786-b318-4bd1-ae30-e2cada7518ed;c49f1e1b-9cb9-4034-8397-1e1908ee81fd;
Kundal body wash baby powder;;;;;;;;;;Yes;18.00;;No;20.00;No;;No;;;each.each;Yes;4;0;;;;;Kundal;Yes;;https://images.sumup.com/img_174BT7QK6Y8B6A44Z135BWT191;;;;;;;Yes;Kundal body wash baby powder;;;Yes;45;business;3294b8b2-3089-4c53-ad09-99ee77ac6f51;046f8343-68df-4f94-8e82-26637e1443d5;
Kundal macadamia serum;;;;;;;;;;Yes;15.00;;No;20.00;No;;No;;;each.each;Yes;5;0;;;;;Kundal;Yes;;https://images.sumup.com/img_2MVF6KHKYB9CWSCF21KXW2H541;;;;;;;Yes;Kundal macadamia serum;;;Yes;45;business;7e576c19-1067-450c-8d8c-b30c0889043f;1811dfad-6264-42d2-985b-e271593f5223;
Kundal treament white rose;;;;;;;;;;Yes;20.00;;No;20.00;No;;No;;;each.each;Yes;3;0;;;;;Kundal;Yes;Purple;https://images.sumup.com/img_2NE8FG8M9M88TR459HV4Q0B6ZB;;;;;;;Yes;Kundal treament white rose;;;Yes;45;business;3f0ebf6f-9ef8-4ceb-a729-f4378b5aad36;44d7519a-a885-4f77-875d-7fa99189a196;
Lebelage serum glutathione;;;;;;;;;;Yes;15.00;;No;20.00;No;;No;;;each.each;Yes;3;0;;;;;LEBELAGE;Yes;Grey;https://images.sumup.com/img_6F0M2AK25R8YD8WZSJTD48ZMZM;;;;;;;Yes;Lebelage serum glutathione;;;Yes;45;business;2c7f74cc-5fcb-41b1-88b1-e6a131c54807;7b1462df-bc32-477e-9310-58006d3e25ba;
MARY&MAY - Retinol 0.1% Bakuchiol Cica Serum;;;;;;;;;;Yes;23.00;;No;20.00;;;No;;;each.each;Yes;2;0;;;;;MARY&MAY;Yes;Dark blue;https://images.sumup.com/img_6JPVVQ1ZH18E69APV5J4TX2542;;;;;;;No;;;;No;45;business;41DF45E8-7B59-4C3D-9F15-5CBBD55DD753;A8E5CE46-3DCB-4981-BFF6-E60F871B9E7F;
MARY&MAY - Rice Nacin 10% Triple Vitamin Serum;;;;;;;;;;Yes;23.00;;No;20.00;;;No;;;each.each;Yes;1;0;;;;;MARY&MAY;Yes;Dark blue;https://images.sumup.com/img_2RAGXG370W8SXRWRXHQWQJGQ0E;;;;;;;No;;;;No;45;business;B15EE0EF-248D-4EFF-AD28-5AF3FCBF0AB8;B2BEEE65-8B92-4D33-B119-F9D86BB27FFD;
MEDICUBE - Age-R Glutathione Glow Serum - 30g;;;;;;;;;;Yes;30.00;;No;20.00;No;28.00;No;;;each.each;Yes;2;2;;12346789518;;;MEDICUBE;Yes;Yellow;https://images.sumup.com/img_2HJ01YJ19G8BDTSHYYFYCC2DGR;;;;;;;Yes;;;;No;45;business;62cf7db8-7777-4707-976a-18217e16e703;96766763-cb21-4e68-a39f-7c5ec59a188d;
MEDICUBE - Collagen Jelly Cream  110ml;;;;;;;;;;Yes;29.30;;No;20.00;No;26.00;No;;;each.each;Yes;3;2;;12346789533;;;MEDICUBE;Yes;Pink;https://images.sumup.com/img_61GKC7CCXJ87E8K6G2800FBGCQ;;;;;;;Yes;;;;No;45;business;6f789940-fe5e-427e-8d24-c9d690330574;83f3ddc6-eebf-4695-8061-791fc8807a28;
MEDICUBE - Deep Vita C Pad- 150g/70pads;;;;;;;;;;Yes;37.00;;No;20.00;No;25.00;No;;;each.each;Yes;3;2;;12346789534;;;MEDICUBE;Yes;Yellow;https://images.sumup.com/img_50Y642FB779JVV9GJCP1WCTPWE;;;;;;;Yes;;;;No;45;business;8a09ae56-58d1-4e98-976e-7c59929e6166;990b3027-83c4-42bc-a327-ddcee9f5fa30;
MEDICUBE - Masque enveloppant de nuit au collagène - 75ml;;;;;;;;;;Yes;25.00;;No;20.00;No;26.75;No;;;each.each;Yes;3;2;;12346789531;;;MEDICUBE;Yes;Yellow;https://images.sumup.com/img_6C8SNNWPJ98RNV0846XEWGTMRK;;;;;;;Yes;;;;No;45;business;c5f60c22-4c4a-4b10-935d-b837fca67968;08dce909-0472-4efe-af36-c346ea64c2be;
MEDICUBE - PDRN Pink Cica Soothing Toner ;;;;;;;;;;Yes;24.00;;No;20.00;;;No;;;each.each;Yes;0;0;;;;;MEDICUBE;Yes;Pink;https://images.sumup.com/img_59ZNVTAMN59MKTAMECJAKESH6T;;;;;;;No;;;;No;45;business;935B2B79-96D9-409F-81D6-603595F89559;209703D3-AFCE-4A4F-8AB3-0C4EC00000A2;
MEDICUBE - Triple Collagen Serum;;;;;;;;;;Yes;24.50;;No;20.00;No;21.00;No;;;each.each;Yes;3;2;;12346789503;;;MEDICUBE;Yes;;https://images.sumup.com/img_2P4KX9R5RD9R0RCKSMNB45VZ4H;;;;;;;Yes;MEDICUBE - Triple Collagen Serum;;;No;45;business;cad53e50-6c39-49c3-a80b-30de78d829d7;21dbd1cb-a355-4e3a-b8eb-684b5805aad4;
MEDICUBE - Triple Collagen Toner - 140ml;;;;;;;;;;Yes;25.00;;No;20.00;No;25.00;No;;;each.each;Yes;4;2;;12346789532;;;MEDICUBE;Yes;;https://images.sumup.com/img_2ZASTMVFSK8TSTCC8QGJF9JM44;;;;;;;Yes;;;;No;45;business;4463d45f-f673-45ef-9f29-b2ec34abfc86;4de23252-6344-4323-9073-ca10f48b04ff;
MEDICUBE - Zero Foam Cleanser ;;;;;;;;;;Yes;18.20;;No;20.00;No;24.45;No;;;each.each;Yes;2;2;;12346789530;;;MEDICUBE;Yes;;https://images.sumup.com/img_2TP9CCFJH2834R58K91H89SX5N;;;;;;;Yes;;;;No;45;business;e1077438-765c-4886-9761-4707f7a57971;12d4a15c-435d-4a04-839a-ab14a21a9386;
MEDICUBE - Zero Pore One Day Serum;;;;;;;;;;Yes;23.90;;No;20.00;No;;No;;;each.each;Yes;0;0;;;;;MEDICUBE;Yes;Pink;https://images.sumup.com/img_3MYHDSBV6P8ADAAK5VNSG62HJM;;;;;;;Yes;;;;Yes;45;business;2448888D-AA4C-4ADF-9002-A5330650CDA0;96769CA2-D6BA-461A-8845-192AC0758D21;
MEDICUDE - Zero Pore Pad 2.0;;;;;;;;;;Yes;26.00;;No;20.00;No;;No;;;each.each;Yes;3;2;;;;;MEDICUBE;Yes;Dark blue;https://images.sumup.com/img_3326T0WQX1884R8DGES5VRYXGC;;;;;;;Yes;Medicube pads vita c ;;;Yes;45;business;3c572753-6da2-44d9-b0ec-c080866973d9;8d35d562-c8c5-478e-ae32-23140f1cb7e6;
MEDIHEAL - Madecassoside Blemish Repair Serum;;;;;;;;;;Yes;28.80;;No;20.00;No;;No;;;each.each;Yes;3;0;;;;;MEDIHEAL;Yes;Light blue;https://images.sumup.com/img_23R2XT99HG8ZJTS1SNKRYNP5MS;;;;;;;No;;;;No;45;business;BD6379D1-AE9D-4B85-9ECF-CD1C7638FD36;E43EE667-E678-47CC-B632-EFDE17004B52;
MEDIHEAL - Vitamin C Brightening Serum 40ml;;;;;;;;;;Yes;28.99;;No;20.00;;;No;;;each.each;Yes;0;0;;;;;MEDIHEAL;Yes;Light blue;https://images.sumup.com/img_03TG921X808EETAA4R6YBJZRD3;;;;;;;No;;;;No;45;business;28A47BC4-BFB8-4B17-B36A-B6F92F71B6F0;D82E1AD0-E935-4BE8-900A-03635A61B8B6;
MEDIPEEL - Retinol Collagen Lifting Cream;;;;;;;;;;Yes;25.00;;No;20.00;No;;No;;;each.each;Yes;-1;0;;;;;Medipeel;Yes;;https://images.sumup.com/img_6E8YESMGZV8K6VNBX6WB4YP6YG;;;;;;;Yes;;;;Yes;45;business;A0655493-835F-492D-9391-5DEDE1C663AF;E0B9E8BA-EBF1-4F1C-BD68-25B1D73766EF;
MEDIX 5.5 - Retinol Ferulic Acid Body Cream ;;;;;;;;;;Yes;26.00;;No;20.00;No;;No;;;each.each;Yes;1;2;;;;;MEDIX 5.5;Yes;;https://images.sumup.com/img_2279FBYBMV80BVPHPTRH8X23XF;;;;;;;Yes;MEDIX 5.5 - Retinol Ferulic Acid Body Cream ;;;No;45;business;4afeaca3-f414-4e05-9e77-d10d0d11cc43;71427f78-c517-437d-bdc6-a566b3f25772;
MEDIX 5.5 - Vitamin C + Curcuma Body Cream ;;;;;;;;;;Yes;25.00;;No;20.00;No;;No;;;each.each;Yes;1;2;;;;<p><strong>La crème Medix 5.5 à la vitamine C et au curcuma</strong> est un soin hydratant et éclaircissant pour le corps et le visage, conçu pour améliorer l’éclat et la fermeté de la peau. Grâce à la <strong>vitamine C</strong>, elle unifie le teint, stimule la production de collagène et réduit les signes du vieillissement (ridules, taches, dommages du soleil). Sa formule contient des <strong>ingrédients nourrissants</strong> tels que le beurre de karité, la vitamine E, l’aloe vera, le curcuma, la glycérine et le gingembre, qui hydratent, apaisent et protègent la peau.</p><p>Adaptée à <strong>tous les types de peau</strong>, même sensibles, cette crème non grasse peut s’utiliser au quotidien sur le visage et le corps. Elle est <strong>vegan, sans cruauté animale</strong>, et exempte de parabènes, sulfates, PEG, colorants, et autres substances controversées. Fabriquée aux États-Unis, elle est testée dermatologiquement et cliniquement.</p>;MEDIX 5.5;Yes;;https://images.sumup.com/img_47XKGXZJQ29PM8MFX1BBZZ79AT;;;;;;;Yes;MEDIX 5.5 - Vitamin C + Curcuma Body Cream ;;;Yes;45;business;fab5fcc6-1927-45d2-840d-3842f9933d13;0d68bb59-d582-4fc9-b95a-bf32d7cb2663;
MISSHA - Masque en feuille Airy Fit;;;;;;;;;;Yes;3.00;;No;20.00;;;No;;;each.each;Yes;4;2;;;;;MISSHA;Yes;;https://images.sumup.com/img_0CYVGJ4KSH8A9A01RKKD5MWZHW;;;;;;;Yes;;;;Yes;45;business;10CDA79B-7970-4CB5-850F-880F9BB1F24D;53FC8290-1C05-48C5-8E28-FED661E6BC09;
MIXSOON - Bean Eye Cream;;;;;;;;;;Yes;19.99;;No;20.00;No;;No;;;each.each;Yes;1;0;;;;;MIXSOON;Yes;;https://images.sumup.com/img_04K2Z3WMZ28TDVVA42JDA2PHZC;;;;;;;No;;;;No;45;business;e69e62fc-3dec-462a-8330-252c27cc3813;2c7e0d9b-2abf-4733-b98e-ec2f47786a11;
MIXSOON - Bean Toner Pads;;;;;;;;;;Yes;30.00;;No;20.00;No;;No;;;each.each;Yes;1;0;;;;;MIXSOON;Yes;Yellow;https://images.sumup.com/img_5FFYCSBRN29TN8G2VXYP9JS4T8;;;;;;;Yes;Mixsoon Beab Toner Pad;;;Yes;45;business;646fc3eb-379c-42ef-9824-7b4b2511daaa;9ff7d876-1cd5-44bc-9441-99432c563d87;
MIXSOON - Essence de haricot - 50ml;;;;;;;;;;Yes;21.00;;No;20.00;No;21.00;No;;;each.each;Yes;2;2;;12346789549;;;MIXSOON;Yes;Light blue;https://images.sumup.com/img_7XT6J2DN259AJ9KZV1FSX5DCDS;;;;;;;Yes;;;;No;45;business;6675586c-c09a-49e0-9eda-9e58fcf539ae;6ee047ad-f148-4cc2-87a5-37cd3ff17a5f;
MIXSOON - Galactomyces Ferment Essence;;;;;;;;;;Yes;29.99;;No;20.00;No;;No;;;each.each;Yes;1;0;;;;;MIXSOON;Yes;;https://images.sumup.com/img_3BS6M8XM849FKR3ZPQ3F2RACHF;;;;;;;No;;;;No;45;business;21b4f148-1e0c-43b0-b153-37722015ce52;bd2573da-4c22-44c0-a47f-99bef300f0bb;
MIXSOON - Soondy Centella Asiatica Essence;;;;;;;;;;Yes;27.00;;No;20.00;No;27.00;No;;;each.each;Yes;0;2;;12346789516;;;MIXSOON;Yes;;https://images.sumup.com/img_2NH63GNEWG9EJVQ5K1P7Z4NRYW;;;;;;;Yes;;;;No;45;business;7e1a5425-6fdf-4e37-ac59-924d10b21b7f;442b3256-128a-42fa-8265-98c32248f298;
Madérothérapie;;;;;;;;;;Yes;95.00;;No;20.00;No;;No;;;each.each;Yes;0;0;;;;;Massages;Yes;Black;;;;;;;;Yes;Madérothérapie;;;No;45;business;71b82c64-399e-43c6-bb91-5ed87296e49a;7ae82936-0abc-4e33-b760-0285f8a57b2e;
Manyo - Bifida Biome Complexe Ampoule;;;;;;;;;;Yes;28.60;;No;20.00;No;;No;;;each.each;Yes;1;0;;;;;Ma:nyo;Yes;;https://images.sumup.com/img_5PJ3SKPGW38AS9RQHXF3M3HTMW;;;;;;;Yes;Manyo - Bifida Biome Complexe Ampoule;;;Yes;45;business;6248cb67-e51a-4b4b-bac9-e2350fb0a1a8;973c32ef-cd11-4a09-91c8-c7f34311ffde;
Manyo - pure cleansing oil;;;;;;;;;;Yes;23.99;;No;20.00;No;;No;;;each.each;Yes;1;0;;;;;Ma:nyo;Yes;Orange;https://images.sumup.com/img_3YECV8JBZF8QNVX769D0SFVTDV;;;;;;;Yes;Manyo - pure cleansing oil;;;Yes;45;business;0E34DD7F-BABA-4758-914D-42C6B5EC7266;CE0EDF29-11C7-44BB-96BE-491824965613;
Manyo bifida complex foam;;;;;;;;;;Yes;18.00;;No;20.00;No;;No;;;each.each;Yes;4;0;;;;;Ma:nyo;Yes;Yellow;https://images.sumup.com/img_68M2Y3X8TD8ZYVR71TH8E1SM9T;;;;;;;Yes;Manyo bifida complex foam;;;Yes;45;business;42b2650a-06cd-41ea-82a6-58582f6067f6;ac7325cc-5a38-4726-bf45-21b5007e6298;
Manyo foam  pore et deep ;;;;;;;;;;Yes;20.00;;No;20.00;No;;No;;;each.each;Yes;5;0;;;;;Ma:nyo;Yes;;https://images.sumup.com/img_61W42XWCS38YJVP1J3PZW3D5KR;;;;;;;Yes;Manyo foam  pore et deep ;;;Yes;45;business;ba1302fb-5393-4904-8ae0-4beefaf4aa63;ae59d14c-46d9-40d8-b4f2-8ac8860abfd6;
Manyo huile pore;;;;;;;;;;Yes;23.00;;No;20.00;No;;No;;;each.each;Yes;1;0;;;;;Ma:nyo;Yes;;https://images.sumup.com/img_48XMW7DTK29Q59T0X9EHV59C9W;;;;;;;Yes;Manyo huile pore;;;Yes;45;business;1528429b-1ab1-442d-9434-37aa4c3cc162;6199c5e1-6fce-4a83-9ca5-714a464f4491;
Manyo pore cream;;;;;;;;;;Yes;18.00;;No;20.00;No;;No;;;each.each;Yes;1;0;;;;;Ma:nyo;Yes;Yellow;https://images.sumup.com/img_2803EHRWJ39VKVFCXWRBMAMQDX;;;;;;;Yes;Manyo pore cream;;;Yes;45;business;b7cb6115-47d7-4218-9a85-7b0522193c19;18999eba-f4f7-4de1-8c1b-877b4789bb9d;
Manyo toner whitening;;;;;;;;;;Yes;20.00;;No;20.00;No;;No;;;each.each;Yes;5;0;;;;;Ma:nyo;Yes;;https://images.sumup.com/img_3863TMFHMC8ACVMNPM9JNMW1M0;;;;;;;Yes;Manyo toner whitening;;;Yes;45;business;8d49fca4-e61e-4a5e-a708-54a7f1eab41f;6c5133d1-7a51-4950-b1b4-9829b790dfed;
Mary &May oil gluthatione ;;;;;;;;;;Yes;22.99;;No;20.00;No;;No;;;each.each;Yes;2;0;;;;;MARY&MAY;Yes;Purple;https://images.sumup.com/img_7Y5XPHACPF9GZTPZKFRAEY6A3Y;;;;;;;Yes;Mary &May oil gluthatione ;;;Yes;45;business;054cd2e4-3ffa-43c2-9147-9d32b0dce11a;2b6f1d1d-92ab-49e4-a733-bf735e31258e;
